Document_No,Day_No,Menu_1,Menu_2,Date/time
1,1,"चहा,ब्रेड,दूध,दहीवडे,वाटाणा उसळ,पोळी,भात,पत्ता कोबी","चहा,पोळी",2018-06-02 01:36:07.835160+00:00
1,2,"चहा,ब्रेड,दूध,दहीवडे,मटकीची उसळ,पोळी,भात,वांग्याची भाजी","दूध,पोळी",2018-06-02 01:37:12.117341+00:00
1,3,"चहा,बिस्कीट,दूध,उपमा,पोळी,भात,खिचडी,बेसन,पालक वरण",चहा,2018-06-02 01:37:47.632063+00:00
2,1,"चहा,दूध,उपमा,पोळी,खिचडी,बेसन,मेथीची भाजी,पालक वरण",चहा,2018-06-02 01:39:09.172066+00:00
2,2,"चहा,दूध,साबुदाणा उसळ,पोळी,भात,पालक वरण",चहा,2018-06-02 01:39:34.444066+00:00
2,3,"चहा,बिस्कीट,दूध,पोहे,वाटाणा उसळ,पोळी,भात,खिचडी,बेसन",चहा,2018-06-02 01:40:11.957675+00:00
3,1,"चहा,उपमा,पोळी,भात,बटाटा वडी,पालक वरण,आलूची भाजी","उपमा,पोळी",2018-06-02 01:41:01.747071+00:00
3,2,"चहा,उसाचा रस,पोळी,खिचडी,पत्ता कोबी,पालक वरण",पोळी,2018-06-02 01:41:38.456586+00:00
3,3,"चहा,पोळी,भात,पत्ता कोबी,पालक वरण","चहा,पोळी",2018-06-02 01:42:14.159520+00:00
4,1,"चहा,बिस्कीट,पोहे,पोळी,भात,खिचडी,बेसन,आलूची भाजी",चहा,2018-06-02 01:43:08.657440+00:00
4,2,"चहा,भाकर,पोळी,भात,पालक वरण,वांग्याची भाजी","चहा,भात",2018-06-02 01:43:51.375277+00:00
4,3,"चहा,दूध,पोहे,पोळी,खिचडी,टमाटर चटणी,वांग्याची भाजी",चहा,2018-06-02 01:44:30.108028+00:00
5,1,"चहा,उपमा,पोळी,आलूची भाजी,टमाटर चटणी","चहा,पोळी",2018-06-02 01:45:27.793559+00:00
5,2,"चहा,बिस्कीट,भाकर,भात,खिचडी,पालक वरण,वांग्याचं भरीत,वांग्याची भाजी",,2018-06-02 01:46:21.000864+00:00
5,3,"चहा,उपमा,भाकर,पोळी,पालक वरण",पालक वरण,2018-06-02 01:46:54.355118+00:00
6,1,"चहा,पोळी,भात,बेसन,वांग्याची भाजी","चहा,पोळी",2018-06-02 01:48:08.764555+00:00
6,2,"चहा,ब्रेड,पोळी,भात,पत्ता कोबी,पालक वरण",पोळी,2018-06-02 01:48:36.771435+00:00
6,3,"चहा,उपमा,पोळी,खिचडी,टमाटर चटणी,वांग्याची भाजी",चहा,2018-06-02 01:49:11.407351+00:00
7,1,"चहा,उपमा,पोळी,खिचडी,बेसन,पालक वरण,वांग्याची भाजी",उपमा,2018-06-02 01:50:13.216610+00:00
7,2,"चहा,उपमा,पोळी,भात,बेसन,पालक वरण",पोळी,2018-06-02 01:50:53.403626+00:00
7,3,"चहा,पोहे,पोळी,खिचडी,टमाटर चटणी,वांग्याची भाजी",पोहे,2018-06-02 01:51:27.448877+00:00
8,1,"चहा,वाटाणा उसळ,पोळी,भात,खिचडी,बेसन",,2018-06-02 01:52:45.553803+00:00
8,2,"चहा,साबुदाणा उसळ,पोळी,भात,वांग्याची भाजी",चहा,2018-06-02 01:53:12.559270+00:00
8,3,"चहा,पोळी,भात,पालक वरण","चहा,भात,पालक वरण",2018-06-02 01:53:48.615427+00:00
9,1,"चहा,उपमा,भाकर,पोळी,बेसन,वांग्याची भाजी",,2018-06-02 01:54:47.182694+00:00
9,2,"चहा,साबुदाणा उसळ,पोळी,भात,पालक वरण",साबुदाणा उसळ,2018-06-02 01:55:14.632885+00:00
9,3,"चहा,उपमा,पोळी,बेसन,वांग्याची भाजी",पोळी,2018-06-02 01:55:38.016699+00:00
10,1,"चहा,पोळी,भात,वांग्याचं भरीत","चहा,भात",2018-06-02 01:56:33.371216+00:00
10,2,"चहा,भाकर,पोळी,बेसन,आलूची भाजी",पोळी,2018-06-02 01:57:09.576405+00:00
10,3,"चहा,पोहे,पोळी,भात,पत्ता कोबी,पालक वरण",पोळी,2018-06-02 01:57:36.955268+00:00
11,1,"चहा,ब्रेड,दूध,पोहे,पोळी,भात,बेसन,वांग्याची भाजी","चहा,पोळी",2018-06-02 01:58:31.613142+00:00
11,2,"चहा,उपमा,पोळी,भात,खिचडी,टमाटर चटणी,अंड्याची भाजी","चहा,उपमा,पोळी",2018-06-02 01:59:12.205096+00:00
11,3,"चहा,ब्रेड,दूध,पोहे,पोळी,भात,खिचडी,बेसन,वांग्याची भाजी",,2018-06-02 02:00:13.391880+00:00
12,1,"चहा,ब्रेड,दूध,उपमा,पोळी,भात,पालक वरण,टमाटर चटणी","चहा,उपमा,पोळी",2018-06-02 02:00:57.169202+00:00
12,2,"चहा,उसाचा रस,भाकर,पोळी,भात,टमाटर चटणी,अंड्याची भाजी","चहा,पोळी",2018-06-02 02:01:49.476528+00:00
12,3,"चहा,ब्रेड,दूध,मटकीची उसळ,पोळी,भात,खिचडी,बेसन,पालक वरण","चहा,मटकीची उसळ",2018-06-02 02:02:42.933195+00:00
13,1,"चहा,बिस्कीट,कढी,पोळी,भात,बेसन","चहा,भात",2018-06-02 02:04:06.095769+00:00
13,2,"चहा,बिस्कीट,उपमा,पोळी,भात,मेथीची भाजी,पालक वरण","चहा,उपमा,पोळी",2018-06-02 02:04:53.384625+00:00
13,3,"चहा,पोळी,भात,खिचडी,बेसन","चहा,बेसन",2018-06-02 02:05:40.161149+00:00
14,1,"चहा,बिस्कीट,दूध,उपमा,पोळी,भात,मेथीची भाजी,आलूची भाजी","चहा,बिस्कीट,पोळी",2018-06-02 02:06:41.556107+00:00
14,2,"चहा,दूध,साबुदाणा उसळ,पोळी,भात,मेथीची भाजी,पालक वरण",चहा,2018-06-02 02:07:16.244905+00:00
14,3,"चहा,दूध,पोहे,पोळी,टमाटर चटणी,वांग्याची भाजी","चहा,पोहे,पोळी",2018-06-02 02:07:50.828348+00:00
15,1,"चहा,बिस्कीट,दूध,उपमा,पोळी,भात,खिचडी,बेसन,डाळ पालक",चहा,2018-06-02 02:08:41.266456+00:00
15,2,"चहा,ब्रेड,दूध,शिरा,पोळी,भात,पालक वरण,वांग्याचं भरीत","चहा,ब्रेड,पोळी",2018-06-02 02:09:17.427835+00:00
15,3,"चहा,ब्रेड,दूध,उपमा,कढी,पोळी,बेसन","उपमा,भात",2018-06-02 02:09:50.420064+00:00
16,1,"चहा,दूध,उपमा,पोळी,भात,पालक वरण,वांग्याची भाजी",पोळी,2018-06-02 02:10:40.346431+00:00
16,2,"चहा,दूध,शिरा,पोळी,भात,खिचडी,बेसन,पालक वरण","भात,पालक वरण",2018-06-02 02:11:12.556387+00:00
16,3,"चहा,उपमा,पोळी,भात,पत्ता कोबी,पालक वरण","पोळी,पालक वरण",2018-06-02 02:11:56.576751+00:00
17,1,"चहा,पोहे,पोळी,भात,खिचडी,बेसन,वांग्याची भाजी",चहा,2018-06-02 02:12:40.667855+00:00
17,2,"चहा,पोहे,पोळी,पालक वरण,वांग्याची भाजी","पोहे,पोळी,भात,पालक वरण",2018-06-02 02:13:27.396915+00:00
17,3,"चहा,उपमा,पोळी,खिचडी,बेसन,आलूची भाजी","पोळी,आलूची भाजी",2018-06-02 02:13:56.728671+00:00
18,1,"चहा,ब्रेड,पोळी,भात,बेसन,पालक वरण","चहा,पोळी",2018-06-02 02:14:56.786261+00:00
18,2,"चहा,उपमा,पोळी,खिचडी,टमाटर चटणी,वांग्याची भाजी","चहा,उपमा",2018-06-02 02:15:35.428558+00:00
18,3,"चहा,कढी,भाकर,पोळी,खिचडी,पत्ता कोबी,मेथीची भाजी",,2018-06-02 02:16:09.061722+00:00
19,1,"चहा,ब्रेड,पोहे,पोळी,भात,बेसन,वांग्याची भाजी","बिस्कीट,पोहे,पोळी",2018-06-02 02:17:14.620079+00:00
19,2,"चहा,ब्रेड,उपमा,पोळी,भात,पालक वरण,टमाटर चटणी","चहा,पोळी",2018-06-02 02:17:50.461708+00:00
19,3,"चहा,दूध,साबुदाणा उसळ,पोळी,भात,पालक वरण",दूध,2018-06-02 02:18:38.517093+00:00
20,1,"चहा,बिस्कीट,उपमा,कढी,पोळी,भात,वांग्याची भाजी","बिस्कीट,भात",2018-06-02 02:19:31.991492+00:00
20,2,"चहा,दूध,साबुदाणा उसळ,पोळी,भात,वांग्याची भाजी",चहा,2018-06-02 02:20:11.053412+00:00
20,3,"चहा,मटकीची उसळ,पोळी,खिचडी,बेसन,टमाटर चटणी",चहा,2018-06-02 02:20:42.716353+00:00
21,1,"चहा,ब्रेड,पोळी,भात,पालक वरण","चहा,पोळी,पालक वरण",2018-06-02 02:21:34.451574+00:00
21,2,"चहा,ब्रेड,उपमा,पापड,पोळी,भात,खिचडी,बेसन,वांग्याची भाजी",चहा,2018-06-02 02:22:06.475204+00:00
21,3,"चहा,दूध,उसाचा रस,साबुदाणा उसळ,पोळी,भात,पालक वरण",,2018-06-02 02:22:35.914949+00:00
22,1,"चहा,ब्रेड,शिरा,चण्याची उसळ,पोळी,भात,बेसन","चहा,पोळी",2018-06-02 02:23:21.677876+00:00
22,2,"चहा,ब्रेड,उसाचा रस,कढी,पोळी,भात,पत्ता कोबी,आलूची भाजी",पोळी,2018-06-02 02:23:55.718510+00:00
22,3,"चहा,पोहे,पोळी,भात,पालक वरण,टमाटर चटणी","चहा,पोहे,पोळी",2018-06-02 02:24:25.607193+00:00
23,1,"चहा,ब्रेड,दूध,शिरा,पोळी,भात,आलूची भाजी,टमाटर चटणी",पोळी,2018-06-02 02:25:29.154865+00:00
23,2,"चहा,साबुदाणा उसळ,पोळी,भात,पालक वरण",चहा,2018-06-02 02:25:54.929982+00:00
23,3,"चहा,बिस्कीट,पोळी,बेसन,वांग्याची भाजी","चहा,पोळी",2018-06-02 02:26:25.819754+00:00
