Document_No,Day_No,Menu_1,Menu_2,Date/time
251,1,"चहा,उपमा,पोळी,पत्ता कोबी,पालक वरण","चहा,पोळी,पालक वरण",2018-05-26 01:58:07.512916+00:00
251,2,"चहा,उपमा,पोळी,भात,टमाटर चटणी,वांग्याची भाजी","चहा,भात",2018-05-26 01:58:54.541213+00:00
251,3,"चहा,पोहे,पोळी,पत्ता कोबी,मेथीची भाजी,पालक वरण","चहा,पोळी",2018-05-26 01:59:30.149291+00:00
252,1,"चहा,दूध,शिरा,पोळी,भात,पत्ता कोबी,पालक वरण,आलूची भाजी","चहा,पोळी",2018-05-26 02:01:10.026092+00:00
252,2,"चहा,दूध,उपमा,पोळी,भात,पालक वरण,आलूची भाजी,वांग्याची भाजी","चहा,पोळी",2018-05-26 02:01:52.035113+00:00
252,3,"चहा,पोहे,मटकीची उसळ,पोळी,पत्ता कोबी","चहा,पोळी",2018-05-26 02:02:35.271577+00:00
253,1,"चहा,मटकीची उसळ,पोळी,भात,पत्ता कोबी,पालक वरण","चहा,पोळी,पालक वरण",2018-05-26 02:04:18.179334+00:00
253,2,"चहा,शिरा,पोळी,पत्ता कोबी,पालक वरण,आलूची भाजी","पोळी,पालक वरण",2018-05-26 02:05:41.235876+00:00
253,3,"चहा,उपमा,पोळी,पत्ता कोबी,पालक वरण,आलूची भाजी","चहा,पोळी,पालक वरण",2018-05-26 02:07:03.912272+00:00
254,1,"चहा,पोहे,पोळी,पत्ता कोबी,मेथीची भाजी,पालक वरण","चहा,पोळी",2018-05-26 02:08:17.471560+00:00
254,2,"चहा,दूध,मटकीची उसळ,पोळी,पत्ता कोबी,पालक वरण,आलूची भाजी","चहा,पोळी",2018-05-26 02:09:05.927167+00:00
254,3,"चहा,उपमा,पोळी,पत्ता कोबी,पालक वरण,वांग्याची भाजी","चहा,पोळी",2018-05-26 02:09:45.744720+00:00
255,1,"चहा,शिरा,पोळी,पत्ता कोबी,पालक वरण","चहा,पोळी,पत्ता कोबी",2018-05-26 02:11:04.989040+00:00
255,2,"चहा,दूध,उपमा,मटकीची उसळ,पोळी,पालक वरण,आलूची भाजी",पोळी,2018-05-26 02:11:42.946398+00:00
255,3,"चहा,दूध,उपमा,पोळी,पत्ता कोबी,पालक वरण,अंड्याची भाजी",पोळी,2018-05-26 02:12:21.445047+00:00
256,1,"चहा,पोळी,भात,पालक वरण,आलूची भाजी,अंड्याची भाजी","चहा,पोळी",2018-05-26 02:13:41.366645+00:00
256,2,"चहा,उपमा,पोळी,पत्ता कोबी,पालक वरण","चहा,पोळी,पालक वरण",2018-05-26 02:14:24.865839+00:00
256,3,"चहा,दूध,साबुदाणा उसळ,पोळी,पत्ता कोबी,पालक वरण",चहा,2018-05-26 02:14:57.146137+00:00
257,1,"चहा,उपमा,पोळी,भात,पत्ता कोबी,पालक वरण,वांग्याची भाजी","चहा,पोळी",2018-05-26 02:16:31.636335+00:00
257,2,"दूध,शिरा,पोळी,भात,पालक वरण,टमाटर चटणी","दूध,पोळी,पालक वरण",2018-05-26 02:17:07.795712+00:00
257,3,"चहा,साबुदाणा उसळ,पोळी,पत्ता कोबी",चहा,2018-05-26 02:17:36.735761+00:00
258,1,"चहा,उपमा,पोळी,पत्ता कोबी,पालक वरण,वांग्याची भाजी","चहा,पोळी,पालक वरण",2018-05-26 02:19:11.191376+00:00
258,2,"चहा,उपमा,पोळी,भात,पालक वरण","चहा,पोळी,भात,पालक वरण",2018-05-26 02:19:49.711025+00:00
258,3,"चहा,दूध,उपमा,पोळी,भात,पत्ता कोबी,पालक वरण,वांग्याची भाजी","चहा,पोळी",2018-05-26 02:20:35.799510+00:00
259,1,"चहा,शिरा,पोळी,पत्ता कोबी,पालक वरण,आलूची भाजी","चहा,पोळी",2018-05-26 02:21:48.259874+00:00
259,2,"चहा,पोहे,वाटाणा उसळ,पोळी,पत्ता कोबी,पालक वरण","चहा,पोळी,पालक वरण",2018-05-26 02:22:29.404379+00:00
259,3,"चहा,उपमा,कढी,पोळी,भात,पत्ता कोबी,पालक वरण","चहा,पोळी",2018-05-26 02:23:06.102720+00:00
260,1,"चहा,उपमा,कढी,पोळी,भात,पत्ता कोबी,पालक वरण","चहा,भात",2018-05-26 02:24:42.987841+00:00
260,2,"चहा,पोहे,शिरा,पोळी,भात,पालक वरण","चहा,पोहे,पोळी",2018-05-26 02:25:29.126142+00:00
260,3,"चहा,दूध,पोहे,पोळी,पत्ता कोबी,आलूची भाजी","चहा,पोळी",2018-05-26 02:26:16.047500+00:00
261,1,"चहा,उपमा,पोळी,पत्ता कोबी,पालक वरण","चहा,पोळी,पालक वरण",2018-05-27 03:55:20.817189+00:00
261,2,"चहा,दूध,शिरा,पोळी,भात,पत्ता कोबी,पालक वरण","चहा,पोळी",2018-05-27 03:55:56.041574+00:00
261,3,"चहा,उपमा,कढी,पोळी,आलूची भाजी,टमाटर चटणी","चहा,पोळी",2018-05-27 03:56:34.773199+00:00
262,1,"चहा,दूध,शिरा,पोळी,पत्ता कोबी,पालक वरण","पोळी,पालक वरण",2018-05-27 03:57:35.649753+00:00
262,2,"चहा,साबुदाणा उसळ,पोळी,पत्ता कोबी,पालक वरण",चहा,2018-05-27 03:58:26.169135+00:00
262,3,"चहा,उपमा,पोळी,भात,मेथीची भाजी,पालक वरण,आलूची भाजी","चहा,पोळी,पालक वरण",2018-05-27 03:59:12.860284+00:00
263,1,"चहा,पोहे,पोळी,भात,पत्ता कोबी,पालक वरण","चहा,पोळी",2018-05-27 04:00:27.178877+00:00
263,2,"चहा,दूध,शिरा,पोळी,भात,टमाटर चटणी,वांग्याची भाजी",,2018-05-27 04:01:07.191371+00:00
263,3,"चहा,उपमा,पोळी,भात,मेथीची भाजी,पालक वरण","चहा,पोळी,पालक वरण",2018-05-27 04:01:53.886440+00:00
264,1,"चहा,पोहे,पोळी,भात,पत्ता कोबी,पालक वरण","चहा,पोळी",2018-05-27 04:03:05.092310+00:00
